date,time,lat,lng
2017-07-01,3611,21.1869959,105.7802561
2017-07-01,3626,21.1870062,105.7802676
2017-07-01,3644,21.1869959,105.7802561
2017-07-01,3659,21.1869959,105.7802561
2017-07-01,3674,21.1871677,105.780474
2017-07-01,3692,21.1900148,105.7819643
2017-07-01,3707,21.1869265,105.780153
2017-07-01,3722,21.1871194,105.7802454
2017-07-01,3737,21.1871194,105.7802454
2017-07-01,3753,21.1873247,105.7803708
2017-07-01,3769,21.1868629,105.7801071
2017-07-01,3784,21.1871194,105.7802454
2017-07-01,3804,21.1871194,105.7802454
2017-07-01,3820,21.1872509,105.7803135
2017-07-01,3836,21.1871194,105.7802454
2017-07-01,3853,21.1871194,105.7802454
2017-07-01,3868,21.1869221,105.7801988
2017-07-01,3885,21.1871194,105.7802454
2017-07-01,3901,21.1869959,105.7802561
2017-07-01,3917,21.1869959,105.7802561
2017-07-01,3933,21.1871194,105.7802454
2017-07-01,3950,21.1899177,105.782033
2017-07-01,3966,21.1871194,105.7802454
2017-07-01,3982,21.1872509,105.7803135
2017-07-01,4000,21.1871194,105.7802454
2017-07-01,4016,21.1871194,105.7802454
2017-07-01,4032,21.1871194,105.7802454
2017-07-01,4048,21.1871194,105.7802454
2017-07-01,4065,21.1871194,105.7802454
2017-07-01,4083,21.1871194,105.7802454
2017-07-01,4099,21.1871194,105.7802454
2017-07-01,4116,21.1871194,105.7802454
2017-07-01,4132,21.1871194,105.7802454
2017-07-01,4148,21.1869959,105.7802561
2017-07-01,4164,21.1871194,105.7802454
2017-07-01,4180,21.1871194,105.7802454
2017-07-01,4196,21.1871194,105.7802454
2017-07-01,4212,21.1871194,105.7802454
2017-07-01,4228,21.1871194,105.7802454
2017-07-01,4245,21.1871194,105.7802454
2017-07-01,4261,21.1871194,105.7802454
2017-07-01,4276,21.1871194,105.7802454
2017-07-01,4292,21.1871194,105.7802454
2017-07-01,4308,21.1871194,105.7802454
2017-07-01,4324,21.1871194,105.7802454
2017-07-01,4340,21.1871194,105.7802454
2017-07-01,4355,21.189975,105.7815867
2017-07-01,4371,21.1902814,105.7817808
2017-07-01,4386,21.189975,105.7815867
2017-07-01,4402,21.1912538,105.7809848
2017-07-01,4417,21.194433,105.7807491
2017-07-01,4433,21.1942773,105.7802447
2017-07-01,4448,21.194624,105.7804159
2017-07-01,4464,21.1965689,105.7782958
2017-07-01,4480,21.1989412,105.7769338
2017-07-01,4496,21.1985553,105.776817
2017-07-01,4512,21.1989312,105.7758426
2017-07-01,4528,21.1996921,105.7752236
2017-07-01,4544,21.1988707,105.7741002
2017-07-01,4559,21.1977111,105.7734353
2017-07-01,4575,21.1982939,105.7730226
2017-07-01,4591,21.1977517,105.772415
2017-07-01,4607,21.1977415,105.7724036
2017-07-01,4623,21.1976713,105.7724265
2017-07-01,4639,21.1977641,105.7724036
2017-07-01,4670,21.1978229,105.7725903
2017-07-01,4687,21.1976897,105.7724344
2017-07-01,4762,21.1977305,105.7725182
2017-07-01,4835,21.1978298,105.7724265
2017-07-01,4869,21.1978094,105.7724036
2017-07-01,4884,21.1977188,105.7724036
2017-07-01,4899,21.1977269,105.772438
2017-07-01,4915,21.1977517,105.772415
2017-07-01,4931,21.1977166,105.7724265
2017-07-01,4946,21.197702,105.7724609
2017-07-01,4963,21.1977269,105.772438
2017-07-01,4979,21.1977188,105.7724036
2017-07-01,4994,21.1977064,105.772415
2017-07-01,5010,21.1977064,105.772415
2017-07-01,5026,21.1976713,105.7724265
2017-07-01,5041,21.1977269,105.772438
2017-07-01,5057,21.1977269,105.772438
